epoch,train_losses,train_accuracies,train_precisions,train_f1s,train_recalls,val_losses,val_accuracies,val_precisions,val_f1s,val_recalls,roc_auc
1,0.5227065820264507,0.8038694432137055,0.8035425686754919,0.8031570532270388,0.8038694432137055,1.5816892425990798,0.505173463177115,0.43352697372121696,0.3940499832612154,0.505173463177115,0.857292842669801
2,0.2832424404134728,0.9029685423128047,0.9029692918861435,0.9029507325120858,0.9029685423128047,0.22653292189041396,0.913572732805843,0.9231058102277254,0.9120684052308352,0.913572732805843,0.9943883948694974
3,0.19105319706953727,0.9342785408359179,0.934210721629035,0.9342364379828246,0.9342785408359179,0.3065980484875934,0.8983566646378576,0.9070424264436368,0.8943286523702455,0.8983566646378576,0.9885260632448044
4,0.16626961353588585,0.9441736818786,0.9440948157135978,0.9441173824147989,0.9441736818786,0.3076998189954215,0.9032258064516129,0.917600306073771,0.8968274835549236,0.9032258064516129,0.9983069214705649
5,0.13946957802147394,0.9551026436272337,0.9550568955520989,0.9550746490976187,0.9551026436272337,0.06946996510531375,0.9756542909312234,0.9764019800566295,0.9755582923952901,0.9756542909312234,0.9993342170955223
6,0.07996944162588543,0.974745237040319,0.9747232905101677,0.9747306245286316,0.974745237040319,0.052403842020246935,0.9835666463785758,0.9836881422582338,0.9835619925308762,0.9835666463785758,0.9992800415197821
7,0.08914934963814751,0.9679515581154925,0.9679871561739675,0.9679637005733845,0.9679515581154925,0.08328761604900557,0.9762629336579428,0.9767551608554319,0.976258621622966,0.9762629336579428,0.9986304244691562
8,0.06682977782028897,0.9769605671245015,0.9769577110972493,0.9769585933329415,0.9769605671245015,0.05681218904142617,0.9799147900182593,0.9800575062438349,0.9799588316151973,0.9799147900182593,0.9993482117527122
9,0.07392353778335026,0.9772559444690592,0.9772519955792381,0.9772522053725874,0.9772559444690592,0.11433990233802047,0.9738283627510651,0.9749912748236653,0.9735662132939823,0.9738283627510651,0.9992441138098849
10,0.05273400767749269,0.9834588687047704,0.9834482833553918,0.9834492969950567,0.9834588687047704,0.07186195948355144,0.9762629336579428,0.9768698459001702,0.9763251908212718,0.9762629336579428,0.9993835865002095
11,0.058447566317450114,0.9821296706542608,0.9821413089809641,0.9821333358191415,0.9821296706542608,0.012119758952140612,0.995739500912964,0.9957537755745451,0.9957416401345307,0.995739500912964,0.999974473116671
12,0.06281137897794563,0.9809481612760301,0.9809682423819206,0.9809505712170746,0.9809481612760301,0.07770277131338593,0.9720024345709068,0.9729701779132889,0.9720616318293493,0.9720024345709068,0.9992536162266129
13,0.05726315149471496,0.9813912272928667,0.9814026639285048,0.9813948846237461,0.9813912272928667,0.02952153616989453,0.9920876445526476,0.9921645794355994,0.9920855014826526,0.9920876445526476,0.9998730610395624
14,0.045556745400002874,0.9853788214443953,0.9853715777241393,0.985372211376065,0.9853788214443953,0.022844086134743317,0.992696287279367,0.99274855332808,0.9926916269144221,0.992696287279367,0.9999130021552409
15,0.04161953324894769,0.9868557081671836,0.9868566990219283,0.9868561618417566,0.9868557081671836,0.007626329672218908,0.996956786366403,0.9969711883584877,0.9969546970104535,0.996956786366403,0.9999971095191158
16,0.05049405299599158,0.9839019347216068,0.9838993692264572,0.9839003502019278,0.9839019347216068,0.012585154917716855,0.9975654290931223,0.9975740019020419,0.997565901925445,0.9975654290931223,0.9999600235700408
17,0.02942086431073247,0.9940924531088465,0.994090959355275,0.9940913577982063,0.9940924531088465,0.039344095660316325,0.9872185027388922,0.9875582326732926,0.9871960660603941,0.9872185027388922,0.9998084413575659
18,0.035014813640623074,0.9875941515285778,0.987594379197063,0.9875939601818808,0.9875941515285778,0.026338468173318273,0.9939135727328059,0.9939529062561162,0.9939095661668993,0.9939135727328059,0.9998834973333536
19,0.02965465843251079,0.9906956136464333,0.99069378001451,0.9906940376611372,0.9906956136464333,0.017095736225500778,0.9945222154595252,0.9946132017668748,0.994516136035059,0.9945222154595252,0.999940913246964
20,0.04864398593464962,0.9867080194949047,0.9867069651291621,0.9867073683086153,0.9867080194949047,0.6601207880531305,0.8490566037735849,0.8725214946766222,0.8425020946363712,0.8490566037735849,0.9749438221664498
